scheduled_arrival_station_code,avg_severity,num_difficult_flights,total_flights,critical_flights
ABE,65.34482758620689,0,29,29
ABQ,78.89285714285714,2,28,28
ACK,46.75,0,4,4
ALB,71.63636363636364,2,44,44
AMS,81.13333333333334,0,15,15
ANC,55.93333333333333,0,30,30
ASE,300.46666666666664,4,15,15
ATH,65.53333333333333,0,15,15
ATL,64.28813559322033,1,59,59
ATW,68.43529411764706,3,85,85
AUA,84.75,1,4,4
AUS,48.76923076923077,0,39,39
AVL,72.69444444444444,3,36,36
AVP,53.92857142857143,0,28,28
BCN,97.13333333333334,1,15,15
BDL,67.62962962962963,2,54,54
BGR,55.0,1,27,27
BHM,68.1,1,30,30
BIL,54.8,0,15,15
BNA,68.18888888888888,2,90,90
BOI,74.23333333333333,2,30,30
BOS,65.90082644628099,2,121,121
BRU,92.66666666666667,1,15,15
BTV,62.758620689655174,0,29,29
BUF,67.71428571428571,3,56,56
BWI,64.88461538461539,4,52,52
BZN,72.825,3,40,38
CAE,97.16666666666667,1,30,30
CAK,80.62711864406779,2,59,59
CDG,104.66666666666667,2,15,15
CHA,78.86046511627907,3,43,43
CHO,65.64285714285714,1,28,28
CHS,63.390243902439025,0,41,41
CID,86.0677966101695,6,59,59
CIU,53.733333333333334,0,15,15
CLE,68.69,2,100,100
CLT,77.0909090909091,3,44,44
CMH,76.31683168316832,6,101,101
CMX,67.97560975609755,1,41,41
COS,53.48275862068966,0,29,29
CRW,72.04545454545455,2,44,44
CUN,55.86666666666667,0,30,30
CVG,59.032967032967036,0,91,91
DAY,63.55555555555556,2,63,63
DCA,64.20261437908496,5,153,150
DEC,60.23076923076923,0,26,25
DEN,67.77027027027027,5,148,148
DFW,69.82191780821918,3,73,72
DLH,59.77777777777778,0,45,45
DSM,68.53731343283582,2,67,67
DTW,69.65625,4,96,96
DUB,78.5,1,14,14
EAU,83.26923076923077,2,26,26
ECP,53.09090909090909,0,11,11
EDI,100.33333333333333,1,15,15
EGE,104.2,1,5,5
ELP,62.666666666666664,0,15,15
EWR,85.9391891891892,15,148,148
FAI,61.13333333333333,0,15,15
FAR,73.22222222222223,2,54,54
FAT,112.28571428571429,3,14,14
FCA,84.58620689655173,3,29,29
FCO,76.26666666666667,0,15,15
FLL,63.24444444444445,1,45,45
FNT,70.71111111111111,2,45,45
FOD,46.92307692307692,0,26,25
FRA,102.56666666666666,5,30,30
FSD,82.80357142857143,6,56,56
FWA,79.25862068965517,1,58,58
GCM,43.0,0,2,2
GEG,64.79310344827586,1,29,29
GRB,66.19047619047619,3,84,84
GRR,65.2159090909091,3,88,88
GRU,117.93333333333334,3,15,15
GSO,93.65517241379311,2,29,29
GSP,60.06896551724138,0,29,29
GTF,47.0,0,2,2
GUA,55.0,0,4,4
HHH,47.0,0,2,2
HND,57.13333333333333,0,15,15
HNL,62.733333333333334,0,15,15
HSV,102.20689655172414,3,29,29
IAD,75.81111111111112,5,90,90
IAH,74.31875,12,160,160
ICT,74.33333333333333,4,51,51
ILM,58.2,0,15,15
IND,77.45192307692308,9,104,104
JAC,61.0,0,29,29
JAX,73.36842105263158,3,38,38
JLN,117.86666666666666,1,15,15
JST,70.66666666666667,0,15,15
KEF,85.33333333333333,1,15,15
LAF,105.17647058823529,2,17,17
LAS,66.73255813953489,2,86,86
LAX,75.1741935483871,11,155,154
LEX,71.32203389830508,4,59,59
LGA,66.65957446808511,7,188,185
LHR,108.75555555555556,5,45,45
LIR,44.25,0,4,4
LIT,63.58536585365854,1,41,41
LNK,83.08333333333333,4,60,60
MBJ,60.57142857142857,0,7,7
MBS,67.77777777777777,2,45,45
MCI,68.9,1,80,80
MCO,70.75294117647059,7,85,85
MCW,60.12,2,25,23
MDT,68.69491525423729,4,59,59
MEM,67.43103448275862,2,58,58
MEX,53.266666666666666,0,15,15
MGW,91.53333333333333,2,15,15
MIA,55.63333333333333,0,30,30
MKE,82.0,9,100,100
MLI,72.7457627118644,3,59,59
MSN,60.50617283950617,4,81,81
MSO,46.46666666666667,0,15,15
MSP,77.6969696969697,7,99,99
MSY,70.41463414634147,2,41,41
MTJ,47.75,0,4,4
MTY,50.357142857142854,0,14,13
MUC,78.13333333333334,0,15,15
MXP,87.13333333333334,1,15,15
MYR,66.23529411764706,0,17,17
NAS,46.25,0,4,4
OGG,45.5,0,2,2
OKC,65.69811320754717,1,53,53
OMA,83.27777777777777,4,72,72
ONT,107.8,1,15,15
ORF,70.96551724137932,3,29,29
PDX,67.36619718309859,2,71,71
PHL,68.33333333333333,3,69,69
PHX,60.644067796610166,3,59,59
PIA,77.7457627118644,4,59,59
PIT,60.521126760563384,1,71,71
PLN,73.33333333333333,3,30,30
PLS,44.0,0,2,2
PNS,46.333333333333336,0,15,15
PUJ,51.8,0,15,15
PVD,60.8,0,30,30
PVR,46.5,0,2,2
PWM,70.375,1,40,40
RAP,64.1,1,30,30
RDU,61.089285714285715,2,56,56
RHI,68.34482758620689,1,29,29
RIC,77.13333333333334,2,45,45
RNO,102.46666666666667,2,15,15
ROA,87.45945945945945,3,37,37
ROC,66.20689655172414,1,58,58
RSW,65.5111111111111,3,45,44
SAN,66.66666666666667,3,75,74
SAT,68.32352941176471,1,34,34
SAV,60.17948717948718,1,39,39
SBN,92.5909090909091,7,88,88
SCE,56.53703703703704,1,54,54
SDF,59.27272727272727,0,55,55
SEA,73.70454545454545,6,88,87
SFO,71.25657894736842,7,152,151
SGF,68.2156862745098,3,51,51
SJC,90.5,1,14,14
SJD,44.0,0,2,2
SJO,46.25,0,4,4
SJU,66.6,0,30,30
SLC,63.90909090909091,1,44,44
SLN,87.26666666666667,1,15,15
SMF,76.24444444444444,4,45,45
SNA,64.0,1,30,30
SNN,90.13333333333334,1,15,15
SRQ,55.53333333333333,0,15,15
STL,80.92307692307692,7,117,117
STT,45.5,0,2,2
SUN,104.71428571428571,1,7,7
SUX,95.26666666666667,1,15,15
SYR,78.07317073170732,4,41,41
TPA,77.0,2,45,45
TUL,62.69491525423729,1,59,59
TUS,53.6,0,15,15
TVC,63.81818181818182,1,66,66
TYS,67.57692307692308,1,52,52
UVF,54.0,0,2,2
XNA,63.092592592592595,1,54,54
YHZ,60.5,0,2,2
YOW,59.04545454545455,1,44,44
YQB,54.46666666666667,0,15,15
YUL,58.977777777777774,0,45,45
YVR,82.24137931034483,1,29,29
YWG,72.2,2,30,30
YYC,75.06666666666666,1,30,30
YYZ,72.82828282828282,3,99,99
ZRH,63.4,0,15,15
