scheduled_arrival_station_code,avg_dep_delay,avg_arr_delay,avg_load_factor,avg_bag_ratio,avg_csr_load,total_flights,critical_flights
ABE,15.344827586206897,1.0689655172413792,0.9339901477832512,,0.0,29,29
ABQ,28.892857142857142,22.178571428571427,0.9690192743764172,,0.0,28,28
ACK,-3.25,-8.0,1.4148496240601505,,0.0,4,4
ALB,21.636363636363637,14.227272727272727,0.96294396085138,,0.0,44,44
AMS,31.133333333333333,50.733333333333334,0.9806098648006704,,0.0,15,15
ANC,5.933333333333334,-4.933333333333334,1.0248816495030402,,0.0,30,30
ASE,137.66666666666666,168.73333333333332,0.9504761904761904,,0.0,15,15
ATH,15.533333333333333,17.8,1.0469601677148848,,0.0,15,15
ATL,14.288135593220339,11.677966101694915,0.9686381726580776,,0.0,59,59
ATW,18.435294117647057,17.152941176470588,0.9912941176470589,,0.0,85,85
AUA,34.75,30.0,1.2583798882681565,,0.0,4,4
AUS,-1.2307692307692308,-7.9743589743589745,0.9786376216799587,,0.0,39,39
AVL,22.694444444444443,13.972222222222221,0.9871449456975773,,0.0,36,36
AVP,3.9285714285714284,-1.3571428571428572,0.9557142857142857,,0.0,28,28
BCN,47.13333333333333,36.46666666666667,0.9014286823511142,,0.0,15,15
BDL,17.62962962962963,10.574074074074074,1.0230642797682887,,0.0,54,54
BGR,5.0,-9.814814814814815,1.0430103035366194,,0.0,27,27
BHM,18.1,5.266666666666667,0.9593333333333334,,0.0,30,30
BIL,4.8,-2.533333333333333,1.1517794486215538,,0.0,15,15
BNA,17.788888888888888,10.222222222222221,0.8957733487103493,,0.0,90,90
BOI,24.233333333333334,7.566666666666666,1.1031010860484545,,0.0,30,30
BOS,15.900826446280991,13.272727272727273,1.04664830891969,,0.0,121,121
BRU,42.666666666666664,38.266666666666666,1.1119496855345912,,0.0,15,15
BTV,12.758620689655173,6.0,1.1286746987951806,,0.0,29,29
BUF,17.714285714285715,16.392857142857142,0.9997955980723515,,0.0,56,56
BWI,14.884615384615385,9.346153846153847,1.02119702483644,,0.0,52,52
BZN,25.325,18.7,1.162973252245059,,0.0,40,38
CAE,47.166666666666664,46.7,0.9746666666666667,,0.0,30,30
CAK,30.627118644067796,23.593220338983052,0.9511367401554734,,0.0,59,59
CDG,54.666666666666664,40.0,1.0234800838574423,,0.0,15,15
CHA,28.86046511627907,27.813953488372093,0.9218604651162791,,0.0,43,43
CHO,15.642857142857142,10.464285714285714,0.9721428571428571,,0.0,28,28
CHS,13.390243902439025,10.317073170731707,1.1198697619769225,,0.0,41,41
CID,36.067796610169495,32.79661016949152,1.0048024204689991,,0.0,59,59
CIU,3.7333333333333334,-0.06666666666666667,0.8693333333333333,,0.0,15,15
CLE,18.69,12.59,0.9735860641260102,,0.0,100,100
CLT,19.90909090909091,26.931818181818183,0.9184319667603642,,0.0,44,44
CMH,26.316831683168317,21.15841584158416,0.9267649056425652,,0.0,101,101
CMX,17.975609756097562,11.609756097560975,0.9390243902439024,,0.0,41,41
COS,3.4827586206896552,-8.10344827586207,1.0121344667132417,,0.0,29,29
CRW,22.045454545454547,24.727272727272727,1.0045454545454546,,0.0,44,44
CUN,5.866666666666666,5.633333333333334,1.343947858472998,,0.0,30,30
CVG,9.032967032967033,8.714285714285714,0.9632906696327296,,0.0,91,91
DAY,13.555555555555555,3.4285714285714284,0.960204081632653,,0.0,63,63
DCA,15.183006535947712,12.869281045751634,0.7901334750767777,,0.0,153,150
DEC,12.153846153846153,11.5,0.34461538461538466,,0.0,26,25
DEN,17.04054054054054,11.486486486486486,1.0910257823012075,,0.0,148,148
DFW,20.506849315068493,9.342465753424657,1.018174719892152,,0.0,73,72
DLH,9.777777777777779,8.11111111111111,0.9564210526315791,,0.0,45,45
DSM,17.850746268656717,10.985074626865671,1.0179261586802828,,0.0,67,67
DTW,19.65625,12.427083333333334,0.9521004638188435,,0.0,96,96
DUB,28.5,19.071428571428573,1.0268238439097979,,0.0,14,14
EAU,33.26923076923077,29.692307692307693,0.9146153846153846,,0.0,26,26
ECP,3.090909090909091,-3.6363636363636362,1.0861244019138756,,0.0,11,11
EDI,50.333333333333336,38.06666666666667,1.0265151515151516,,0.0,15,15
EGE,54.2,48.6,1.1111111111111112,,0.0,5,5
ELP,12.666666666666666,4.666666666666667,0.9173684210526315,,0.0,15,15
EWR,35.939189189189186,27.864864864864863,1.0408685898315788,,0.0,148,148
FAI,11.133333333333333,-6.733333333333333,0.9417670682730923,,0.0,15,15
FAR,23.22222222222222,18.055555555555557,0.9813311055416319,,0.0,54,54
FAT,62.285714285714285,53.357142857142854,1.0347102696500288,,0.0,14,14
FCA,34.58620689655172,20.896551724137932,1.11056035388027,,0.0,29,29
FCO,26.266666666666666,18.866666666666667,0.769182389937107,,0.0,15,15
FLL,13.244444444444444,6.555555555555555,1.1378672305609776,,0.0,45,45
FNT,20.711111111111112,18.555555555555557,0.9924444444444446,,0.0,45,45
FOD,-1.1538461538461537,-8.384615384615385,0.35461538461538467,,0.0,26,25
FRA,52.56666666666667,41.666666666666664,1.0276729559748428,,0.0,30,30
FSD,31.982142857142858,25.303571428571427,1.010198770607837,,0.0,56,56
FWA,29.25862068965517,23.120689655172413,0.9290925589836662,,0.0,58,58
GCM,-7.0,18.5,1.2625698324022347,,0.0,2,2
GEG,14.793103448275861,-4.172413793103448,1.0512315270935961,,0.0,29,29
GRB,16.19047619047619,13.488095238095237,1.0091836734693878,,0.0,84,84
GRR,15.215909090909092,10.75,0.9664956339433682,,0.0,88,88
GRU,67.93333333333334,69.33333333333333,1.0205450733752621,,0.0,15,15
GSO,43.6551724137931,36.793103448275865,0.9307155820585947,,0.0,29,29
GSP,10.068965517241379,6.310344827586207,1.009411459683692,,0.0,29,29
GTF,-3.0,0.5,1.1710526315789473,,0.0,2,2
GUA,5.0,1.5,1.1265060240963856,,0.0,4,4
HHH,-3.0,1.0,1.5197368421052633,,0.0,2,2
HND,7.133333333333334,35.6,0.9639412997903564,,0.0,15,15
HNL,12.733333333333333,2.066666666666667,1.1932914046121594,,0.0,15,15
HSV,52.206896551724135,50.0,0.8557039149598133,,0.0,29,29
